Town,Address,Sale Price,Sale Date
MOTT HAVEN/PORT MORRIS,418 EAST 134 STREET,179000,1/7/20
PARKCHESTER,"1470 PARKCHESTER ROAD, 2C",200000,1/7/20
RIVERDALE,"5900 ARLINGTON AVE, 10P",180000,1/7/20
SCHUYLERVILLE/PELHAM BAY,1640 JARVIS AVENUE,878000,1/7/20
BAYCHESTER,1224 EAST 224 STREET,580000,1/8/20
BAYCHESTER,1327 EAST 233 STREET,384000,1/8/20
BAYCHESTER,3336 FISH AVENUE,590000,1/8/20
BAYCHESTER,3826 PRATT AVENUE,675000,1/8/20
BRONXDALE,2750 COLDEN AVENUE,550000,1/8/20
BRONXDALE,3023 PAULDING AVE,509500,1/8/20
COUNTRY CLUB,718 WILCOX AVENUE,320000,1/8/20
HIGHBRIDGE/MORRIS HEIGHTS,1294 SHAKESPEARE AVENUE,755000,1/8/20
MOTT HAVEN/PORT MORRIS,N/A EAST 142 STREET,4200000,1/8/20
MOTT HAVEN/PORT MORRIS,781 EAST 142 STREET,4200000,1/8/20
PELHAM PARKWAY NORTH,2317 FISH AVENUE,652000,1/8/20
RIVERDALE,"3333 HENRY HUDSON PARKWAY, 5R",358750,1/8/20
SCHUYLERVILLE/PELHAM BAY,2865 CODDINGTON AVENUE,225000,1/8/20
THROGS NECK,3109 MILES AVENUE,200000,1/8/20
THROGS NECK,372 HUNTINGTON AVENUE,550000,1/8/20
WAKEFIELD,4318 GRACE AVENUE,10,1/8/20
WILLIAMSBRIDGE,726 EAST 220 ST,795915,1/8/20
WOODLAWN,4271 KEPLER AVENUE,835000,1/8/20
BAYCHESTER,3426 EDSON AVENUE,180000,1/9/20
BEDFORD PARK/NORWOOD,3185 HULL AVENUE,156000,1/9/20
BRONXDALE,"610 WARING AVENUE, 4M",340000,1/9/20
CASTLE HILL/UNIONPORT,2104 LACOMBE AVENUE,350000,1/9/20
CASTLE HILL/UNIONPORT,940 CASTLE HILL AVENUE,120000,1/9/20
FORDHAM,2434 WALTON AVENUE,585000,1/9/20
FORDHAM,2436 WALTON AVENUE,615000,1/9/20
KINGSBRIDGE/JEROME PARK,"2860 BAILEY AVENUE, 4H",240000,1/9/20
MELROSE/CONCOURSE,"800 GRAND CONCOURSE, 6T-N",178000,1/9/20
MELROSE/CONCOURSE,"800 GRAND CONCOURSE, 2T-S",165000,1/9/20
MORRISANIA/LONGWOOD,673 CAULDWELL AVENUE,700000,1/9/20
PELHAM PARKWAY SOUTH,2154 HAIGHT AVE,829000,1/9/20
RIVERDALE,"3135 JOHNSON AVE, 10F",325000,1/9/20
RIVERDALE,"2575 PALISADE AVE, 6C",295000,1/9/20
SOUNDVIEW,1112 TAYLOR AVENUE,475000,1/9/20
SOUNDVIEW,1161 COLGATE AVENUE,700000,1/9/20
THROGS NECK,"12A EDGEWATER PARK, 12A",202500,1/9/20
THROGS NECK,"24 PENNYFIELD AVENUE, 2B",10000,1/9/20
WAKEFIELD,4142 GUNTHER AVENUE,480000,1/9/20
WAKEFIELD,4117 DIGNEY AVENUE,695000,1/9/20
WILLIAMSBRIDGE,709 EAST 226 STREET,810001,1/9/20
BAYCHESTER,4088 EDSON AVENUE,530000,1/10/20
BEDFORD PARK/NORWOOD,3102 VILLA AVENUE,2895000,1/10/20
BELMONT,2297 SOUTHERN BLVD,844600,1/10/20
CASTLE HILL/UNIONPORT,2226 LACOMBE AVENUE,495000,1/10/20
HIGHBRIDGE/MORRIS HEIGHTS,1753 POPHAM AVENUE,275000,1/10/20
HUNTS POINT,630 HUNTS POINT AVENUE,2800000,1/10/20
KINGSBRIDGE/JEROME PARK,3069 HEATH AVENUE,450000,1/10/20
KINGSBRIDGE/JEROME PARK,2735 CLAFLIN AVENUE,335000,1/10/20
KINGSBRIDGE/JEROME PARK,3448 CANNON PLACE,10,1/10/20
KINGSBRIDGE/JEROME PARK,"511 WEST 232 STREET, W43",400000,1/10/20
MORRIS PARK/VAN NEST,1918 HUNT AVENUE,286000,1/10/20
PARKCHESTER,"1503 METROPOLITAN AVENUE, 3E",175000,1/10/20
PELHAM PARKWAY NORTH,2221 WALLACE AVENUE,748414,1/10/20
RIVERDALE,2733 NETHERLAND AVENUE,700000,1/10/20
RIVERDALE,"645 WEST 239TH STREET, 6E",221500,1/10/20
SCHUYLERVILLE/PELHAM BAY,2898 WELLMAN AVENUE,350000,1/10/20
SCHUYLERVILLE/PELHAM BAY,2841 WATERBURY AVE,771000,1/10/20
THROGS NECK,2924 BARKLEY AVENUE,414000,1/10/20
THROGS NECK,148 REVERE AVENUE,410672,1/10/20
THROGS NECK,357 HUNTINGTON AVENUE,675000,1/10/20
BAYCHESTER,1462 HICKS STREET,725000,1/13/20
BAYCHESTER,3143 SEYMOUR AVE,953460,1/13/20
BEDFORD PARK/NORWOOD,362 E 198TH STREET,600000,1/13/20
BEDFORD PARK/NORWOOD,2975 PERRY AVENUE,797500,1/13/20
CASTLE HILL/UNIONPORT,2247 CINCINNATUS AVENUE,395000,1/13/20
CASTLE HILL/UNIONPORT,2138 BRUCKNER BOULEVARD,610685,1/13/20
EAST TREMONT,2152 CROTONA AVENUE,350000,1/13/20
FORDHAM,2082 RYER AVENUE,575000,1/13/20
MORRISANIA/LONGWOOD,964 EAST 167,700000,1/13/20
MORRISANIA/LONGWOOD,966 EAST 167 STREET,275000,1/13/20
MORRISANIA/LONGWOOD,968 EAST 167 STREET,700000,1/13/20
MOUNT HOPE/MOUNT EDEN,"1855 GRAND CONCOURSE, 31",170000,1/13/20
PARKCHESTER,1372 LELAND AVENUE,820000,1/13/20
PARKCHESTER,1631 TAYLOR AVENUE,950000,1/13/20
PELHAM GARDENS,2234 WESTERVELT AVENUE,860000,1/13/20
PELHAM PARKWAY SOUTH,"2199 HOLLAND AVENUE, LP",167000,1/13/20
RIVERDALE,"609 KAPPOCK STREET, 6F",285000,1/13/20
BRONXDALE,2733 KINGSLAND AVENUE,520000,1/14/20
EAST TREMONT,"700 OAKLAND PLACE, 4D",71000,1/14/20
FIELDSTON,"255 FIELDSTON TERRACE, PS#4",31868,1/14/20
HUNTS POINT,967 LONGFELLOW AVENUE,1400000,1/14/20
MORRIS PARK/VAN NEST,1662 HOLLAND AVE,667500,1/14/20
MORRIS PARK/VAN NEST,1958 LURTING AVENUE,765000,1/14/20
MORRISANIA/LONGWOOD,"757 EAST 169TH STREET, 2D",66500,1/14/20
PARKCHESTER,"1555 UNIONPORT ROAD, 5C",150000,1/14/20
PARKCHESTER,"1950 EAST TREMONT AVENUE, 7E",50000,1/14/20
PARKCHESTER,"1579 METROPOLITAN AVENUE, 11H",170000,1/14/20
PELHAM PARKWAY NORTH,2444 BOUCK AVENUE,675000,1/14/20
RIVERDALE,"3810 GREYSTONE AVENUE, 304",205000,1/14/20
RIVERDALE,"3671 HUDSON MANOR TERRACE, 18J",640000,1/14/20
RIVERDALE,"5355 HENRY HUDSON PARKWAY, 8B",295896,1/14/20
SOUNDVIEW,1134 THIERIOT AVENUE,583500,1/14/20
WAKEFIELD,4510 MURDOCK AVENUE,340000,1/14/20
WESTCHESTER,2413 BUCK STREET,780613,1/14/20
BATHGATE,3818 PARK AVENUE,10,1/15/20
BRONXDALE,"2750 OLINVILLE AVENUE, 6A",130000,1/15/20
CITY ISLAND,119 PILOT STREET,675000,1/15/20
KINGSBRIDGE HTS/UNIV HTS,"N/A LANDING ROAD, *****",18029375,1/15/20
KINGSBRIDGE HTS/UNIV HTS,N/A WEST 192 STREET,18029375,1/15/20
KINGSBRIDGE/JEROME PARK,215 WEST KINGSBRIDGE RD,773870,1/15/20
MORRIS PARK/VAN NEST,1665 COLDEN AVENUE,661000,1/15/20
MORRIS PARK/VAN NEST,681 VAN NEST AVENUE,580000,1/15/20
MORRISANIA/LONGWOOD,682 UNION AVENUE,310000,1/15/20
PARKCHESTER,"81 METROPOLITAN OVAL, 4G",160000,1/15/20
PELHAM PARKWAY NORTH,"2255 CRUGER AVENUE, 1A",115000,1/15/20
PELHAM PARKWAY SOUTH,"2199 HOLLAND AVENUE, 3G",125000,1/15/20
PELHAM PARKWAY SOUTH,"2187 HOLLAND AVENUE, 2K",110000,1/15/20
RIVERDALE,N/A FAIRFIELD AVENUE,334000,1/15/20
RIVERDALE,N/A FAIRFIELD AVENUE,333000,1/15/20
RIVERDALE,N/A WEST 230 STREET,333000,1/15/20
RIVERDALE,"2400 JOHNSON AVENUE, 4F",355000,1/15/20
SCHUYLERVILLE/PELHAM BAY,1606 MULFORD AVE,560000,1/15/20
WESTCHESTER,2512 GLEBE AVE,625000,1/15/20
WOODLAWN,40 EAST 235 STREET,250000,1/15/20
BATHGATE,2412 WEBSTER AVENUE,1400000,1/16/20
BRONXDALE,2519 HOLLAND AVENUE,605000,1/16/20
CASTLE HILL/UNIONPORT,408 OLMSTEAD AVENUE,309686,1/16/20
EAST TREMONT,930 EAST 178 STREET,25000,1/16/20
HIGHBRIDGE/MORRIS HEIGHTS,"941 JEROME AVENUE, 7C",180000,1/16/20
MORRIS PARK/VAN NEST,1620 RADCLIFF AVENUE,300000,1/16/20
MORRISANIA/LONGWOOD,677 ELTON AVE,1100000,1/16/20
MOTT HAVEN/PORT MORRIS,421 EAST 143 ST,565000,1/16/20
PARKCHESTER,524 VAN NEST AVENUE,990952,1/16/20
PARKCHESTER,"1922 MCGRAW AVENUE, 3F",155000,1/16/20
PARKCHESTER,"1507 METROPOLITAN AVENUE, 5G",200000,1/16/20
PELHAM PARKWAY NORTH,2517 WILSON AVENUE,350000,1/16/20
PELHAM PARKWAY NORTH,N/A BOUCK AVENUE,100000,1/16/20
RIVERDALE,2715 ARLINGTON AVENUE,1310000,1/16/20
RIVERDALE,4960 ARLINGTON AVENUE,2300000,1/16/20
RIVERDALE,"555 KAPPOCK STREET, 14N",254000,1/16/20
RIVERDALE,"3750 HUDSON MANOR TERRACE, 6BE",410000,1/16/20
RIVERDALE,"5415 NETHERLAND AVENUE, K-14",240000,1/16/20
RIVERDALE,"5800 ARLINGTON AVENUE, 4H",455000,1/16/20
SOUNDVIEW,1135 BOYNTON AVENUE,10900000,1/16/20
SOUNDVIEW,"825 MORRISON AVENUE, 19L",306000,1/16/20
THROGS NECK,3221 TIERNEY PLACE,535000,1/16/20
THROGS NECK,907 QUINCY AVE,570000,1/16/20
WAKEFIELD,4137 BOYD AVENUE,446000,1/16/20
WAKEFIELD,4512 CARPENTER AVENUE,450000,1/16/20
BAYCHESTER,1320 EAST 223RD STREET,405000,1/17/20
BAYCHESTER,3207 GUNTHER AVENUE,701000,1/17/20
BEDFORD PARK/NORWOOD,"325 EAST 201ST, 4C",176500,1/17/20
BEDFORD PARK/NORWOOD,"306 EAST MOSHOLU PARKWAY SOUTH, 2B",100000,1/17/20
BRONXDALE,2710 PEARSALL AVENUE,470000,1/17/20
BRONXDALE,2932 LURTING AVENUE,350844,1/17/20
EAST TREMONT,"1898 LONGFELLOW AVENUE, B4",20250,1/17/20
FIELDSTON,"255 FIELDSTON TERRACE, PS#22",29840,1/17/20
KINGSBRIDGE HTS/UNIV HTS,"7 FORDHAM HILL OVAL, 3F",270000,1/17/20
KINGSBRIDGE HTS/UNIV HTS,"2630 KINGSBRIDGE TERRACE, 1W",242000,1/17/20
MELROSE/CONCOURSE,305 EAST 165 STREET,2500000,1/17/20
MORRISANIA/LONGWOOD,1053 BRYANT AVENUE,10,1/17/20
MORRISANIA/LONGWOOD,1389 CROTONA AVENUE,2500,1/17/20
PARKCHESTER,1436 TAYLOR AVENUE,550000,1/17/20
PELHAM PARKWAY NORTH,2434 FISH AVENUE,595000,1/17/20
PELHAM PARKWAY NORTH,2545 HONE AVE,630000,1/17/20
RIVERDALE,227 WEST 255TH STREET,730000,1/17/20
SCHUYLERVILLE/PELHAM BAY,2930 EAST 194 STREET,980000,1/17/20
SOUNDVIEW,"124 SUNSET BLVD, 11124",380000,1/17/20
SOUNDVIEW,"236 SUNSET BLVD, 12236",350000,1/17/20
SOUNDVIEW,"231 SUNSET BOULEVARD, 9231B",310000,1/17/20
THROGS NECK,4368 LOCUST POINT DRIVE,155336,1/17/20
WILLIAMSBRIDGE,3647 HOLLAND AVENUE,525000,1/17/20
BRONXDALE,N/A ARNOW AVENUE,535000,1/20/20
SOUNDVIEW,"150 MERMAID LANE, 280",525192,1/20/20
BAYCHESTER,3354 TIEMANN AVENUE,515000,1/21/20
BAYCHESTER,3955 DEREIMER AVENUE,499000,1/21/20
BEDFORD PARK/NORWOOD,3084 DECATUR AVE,925000,1/21/20
BEDFORD PARK/NORWOOD,"3184 GRAND CONCOURSE, 4G",175000,1/21/20
BRONXDALE,2711 DEWITT PLACE,385000,1/21/20
KINGSBRIDGE/JEROME PARK,2793 WEBB AVENUE,750000,1/21/20
MORRIS PARK/VAN NEST,1936 BRONXDALE AVENUE,730000,1/21/20
MORRISANIA/LONGWOOD,1383 INTERVALE AVE,462150,1/21/20
MORRISANIA/LONGWOOD,"793 EAST 158 STREET, 4",320000,1/21/20
MOTT HAVEN/PORT MORRIS,421 E 135TH STREET,722958,1/21/20
PARKCHESTER,"1575 ODELL STREET, 2C",180000,1/21/20
PARKCHESTER,"1670 METROPOLITAN AVENUE, 4B",200000,1/21/20
PELHAM PARKWAY NORTH,2411 WILSON AVE,800000,1/21/20
RIVERDALE,"3600 FIELDSTON ROAD, 6D",333000,1/21/20
RIVERDALE,"3656 JOHNSON AVENUE, 6C/D",740000,1/21/20
RIVERDALE,"6535 BROADWAY, 3J",165000,1/21/20
RIVERDALE,"5644 NETHERLAND AVENUE, 5A",235000,1/21/20
SCHUYLERVILLE/PELHAM BAY,1650 JARVIS AVENUE,685000,1/21/20
SOUNDVIEW,"228 SUNSET BOULEVARD, 12228",345000,1/21/20
THROGS NECK,"107C EDGEWATER PARK, 107C",40000,1/21/20
WILLIAMSBRIDGE,949 EAST 230 STREET,445000,1/21/20
BAYCHESTER,3328 BOUCK AVENUE,420000,1/22/20
COUNTRY CLUB,3301 CAMPBELL DRIVE,720000,1/22/20
KINGSBRIDGE/JEROME PARK,3823 ORLOFF AVENUE,747000,1/22/20
MELROSE/CONCOURSE,"1075 GRAND CONCOURSE, 3M",355000,1/22/20
MORRIS PARK/VAN NEST,1615 TENBROECK AVENUE,496000,1/22/20
PELHAM PARKWAY SOUTH,"2105 WALLACE AVENUE, 5F",152000,1/22/20
RIVERDALE,"5550 FIELDSTON ROAD, 1A",300000,1/22/20
RIVERDALE,"3750 HUDSON MANOR TERRACE, 2G/E",410000,1/22/20
SOUNDVIEW,7 RUDD PLACE,202500,1/22/20
SOUNDVIEW,1226 WARD AVENUE,705000,1/22/20
THROGS NECK,2860 MILES AVENUE,535000,1/22/20
WAKEFIELD,4382 BYRON AVENUE,240000,1/22/20
WAKEFIELD,4828 ROBERTSON STREET,700000,1/22/20
WILLIAMSBRIDGE,968 EAST 231ST STREET,587100,1/22/20
WILLIAMSBRIDGE,3546 BRONX BOULEVARD,680000,1/22/20
BAYCHESTER,3721 ROMBOUTS AVENUE,505000,1/23/20
BAYCHESTER,3684 PALMER AVE.,779000,1/23/20
BRONXDALE,1025 EAST GUN HILL ROAD,590000,1/23/20
BRONXDALE,"2550 OLINVILLE AVENUE, PS65",10000,1/23/20
MORRISANIA/LONGWOOD,830 TINTON AVE,295000,1/23/20
MORRISANIA/LONGWOOD,594 PROSPECT AVENUE,740000,1/23/20
MORRISANIA/LONGWOOD,800 FREEMAN STREET,710000,1/23/20
MOTT HAVEN/PORT MORRIS,349 EAST 139 STREET,755000,1/23/20
PELHAM GARDENS,1526 MACE AVE,1300000,1/23/20
PELHAM PARKWAY NORTH,2432 BARNES AVE,690000,1/23/20
SCHUYLERVILLE/PELHAM BAY,1858 MAYFLOWER AVE,20000,1/23/20
SOUNDVIEW,1151 WHEELER AVENUE,850000,1/23/20
SOUNDVIEW,"825 MORRISON AVENUE, 13L",293173,1/23/20
WILLIAMSBRIDGE,818 EAST 218 STREET,210000,1/23/20
BATHGATE,2277 BATHGATE AVENUE,4463828,1/24/20
BAYCHESTER,3354 FISH AVENUE,435000,1/24/20
BAYCHESTER,3320 TIEMANN AVENUE,375180,1/24/20
BAYCHESTER,1468 NEEDHAM,225000,1/24/20
BAYCHESTER,1110 EAST 233 STREET,775000,1/24/20
BAYCHESTER,3721 PRATT AVENUE,580000,1/24/20
BAYCHESTER,N/A EAST GUN HILL ROAD,800000,1/24/20
BAYCHESTER,N/A EAST GUN HILL ROAD,800000,1/24/20
BRONXDALE,2743 MATTHEWS AVENUE,25000,1/24/20
CASTLE HILL/UNIONPORT,2253 CHATTERTON AVENUE,700000,1/24/20
CITY ISLAND,"2 LEEWARD LANE, 20",450000,1/24/20
COUNTRY CLUB,1430 STADIUM AVENUE,575000,1/24/20
FORDHAM,2237 TIEBOUT,475000,1/24/20
HIGHBRIDGE/MORRIS HEIGHTS,1785 JEROME AVENUE,3800000,1/24/20
MORRIS PARK/VAN NEST,1657 BARNES AVENUE,620000,1/24/20
PARKCHESTER,1425 BEACH AVENUE,341250,1/24/20
PARKCHESTER,"2033 MCGRAW AVENUE, 1H",225000,1/24/20
PARKCHESTER,"2120 EAST TREMONT AVENUE, ME",150327,1/24/20
PELHAM PARKWAY NORTH,2220 PEARSALL AVENUE,565000,1/24/20
PELHAM PARKWAY NORTH,2309 EASTCHESTER ROAD,500000,1/24/20
PELHAM PARKWAY NORTH,1232 MACE AVENUE,628300,1/24/20
PELHAM PARKWAY SOUTH,2107 MATTHEWS AVENUE,445000,1/24/20
RIVERDALE,"60 KNOLLS CRESCENT, 4M",159225,1/24/20
RIVERDALE,"5900 ARLINGTON AVENUE, 4O",180000,1/24/20
SCHUYLERVILLE/PELHAM BAY,1870 MULFORD AVENUE,310000,1/24/20
SCHUYLERVILLE/PELHAM BAY,2842 EAST 194TH STREET,530000,1/24/20
SOUNDVIEW,224 BETTS AVE,150000,1/24/20
SOUNDVIEW,323 NEWMAN AVE,469000,1/24/20
SOUNDVIEW,1348 CROES AVENUE,888000,1/24/20
THROGS NECK,828 CALHOUN AVENUE,520000,1/24/20
VAN CORTLANDT PARK,"6035 BROADWAY, 7M",359000,1/24/20
VAN CORTLANDT PARK,"6035 BROADWAY, 6N",359000,1/24/20
WAKEFIELD,4446 MURDOCK AVENUE,560000,1/24/20
WILLIAMSBRIDGE,634 EAST 232ND STREET,530000,1/24/20
WILLIAMSBRIDGE,933 EAST 216 STREET,912000,1/24/20
WOODLAWN,420 E. 237 STREET,631000,1/24/20
THROGS NECK,3750 EAST TREMONT AVENUE,600000,1/25/20
THROGS NECK,3756 EAST TREMONT AVENUE,600000,1/25/20
THROGS NECK,3752 EAST TREMONT AVENUE,600000,1/25/20
THROGS NECK,3760 EAST TREMONT AVENUE,600000,1/25/20
BATHGATE,2043 BATHGATE AVENUE,461370,1/27/20
BAYCHESTER,3333 WILSON AVENUE,350000,1/27/20
BAYCHESTER,3324 BOUCK AVENUE,430000,1/27/20
BAYCHESTER,3350 GUNTHER AVE,540000,1/27/20
BRONXDALE,3512 PAULDING AVENUE,550000,1/27/20
CASTLE HILL/UNIONPORT,2116 LACOMBE AVE,624000,1/27/20
CITY ISLAND,115 ROCHELLE STREET,435000,1/27/20
CITY ISLAND,"170-190 SCHOFIELD STREET, 2-H",263000,1/27/20
COUNTRY CLUB,836 DEAN AVE,1525000,1/27/20
MORRIS PARK/VAN NEST,1868 WHITE PLAINS ROAD,1200000,1/27/20
MORRIS PARK/VAN NEST,"764 BRADY AVENUE, 234",155000,1/27/20
MOTT HAVEN/PORT MORRIS,339 CONCORD AVENUE,525000,1/27/20
PARKCHESTER,"1530 ARCHER ROAD, MC",100000,1/27/20
RIVERDALE,"3299 CAMBRIDGE AVENUE, 6E",295000,1/27/20
SOUNDVIEW,433 BEACH AVENUE,680000,1/27/20
SOUNDVIEW,320 UNDERHILL AVENUE,600000,1/27/20
SOUNDVIEW,523 UNDERHILL AVE,489000,1/27/20
SOUNDVIEW,"163 SURF DRIVE, 106",465000,1/27/20
SOUNDVIEW,431 BEACH AVENUE,680000,1/27/20
SOUNDVIEW,"103 FLEET COURT, 14103",410000,1/27/20
THROGS NECK,"195 BALCOM AVENUE, 4C",325000,1/27/20
WILLIAMSBRIDGE,919 EAST 224TH STREET,592000,1/27/20
WILLIAMSBRIDGE,721 EAST 216,425000,1/27/20
WILLIAMSBRIDGE,3736 PAULDING AVE,860000,1/27/20
BATHGATE,1937 WASHINGTON AVE,645000,1/28/20
BAYCHESTER,3708 DYRE AVENUE,322000,1/28/20
BEDFORD PARK/NORWOOD,358 EAST 198TH STREET,288000,1/28/20
BEDFORD PARK/NORWOOD,"2866 MARION AVENUE, 6A",126000,1/28/20
BRONXDALE,3240 OLINVILLE AVENUE,655000,1/28/20
COUNTRY CLUB,3141 WATERBURY AVENUE,525000,1/28/20
FIELDSTON,4485 FIELDSTON ROAD,3250000,1/28/20
HIGHBRIDGE/MORRIS HEIGHTS,1531 NELSON AVENUE,530000,1/28/20
HIGHBRIDGE/MORRIS HEIGHTS,1065 SUMMIT AVENUE,3025000,1/28/20
HIGHBRIDGE/MORRIS HEIGHTS,"1711 DAVIDSON AVENUE, 2B",80000,1/28/20
KINGSBRIDGE/JEROME PARK,3991 SAXON AVENUE,722500,1/28/20
KINGSBRIDGE/JEROME PARK,"2796 SEDGWICK AVENUE, 3C",330000,1/28/20
MORRIS PARK/VAN NEST,1628 TOMLINSON AVE,600000,1/28/20
PARKCHESTER,"1563 UNIONPORT ROAD, 5C",200000,1/28/20
RIVERDALE,5706 LIEBIG AVENUE,425000,1/28/20
RIVERDALE,"3299 CAMBRIDGE AVE, 3C",188503,1/28/20
RIVERDALE,"3616 HENRY HUDSON PARKWAY, 2DN",347500,1/28/20
SCHUYLERVILLE/PELHAM BAY,1267 HOLLYWOOD AVENUE,715000,1/28/20
SCHUYLERVILLE/PELHAM BAY,1336 BALCOM AVENUE,927000,1/28/20
SCHUYLERVILLE/PELHAM BAY,2829 ROEBLING AVENUE,900000,1/28/20
SOUNDVIEW,1705 E 174 STREET,889000,1/28/20
THROGS NECK,2917 PHILIP AVENUE,526000,1/28/20
THROGS NECK,731 QUINCY AVENUE,497250,1/28/20
WAKEFIELD,4410 ELY AVENUE,270500,1/28/20
WAKEFIELD,4333 BOYD AVENUE,320000,1/28/20
WAKEFIELD,4335 BOYD AVENUE,320000,1/28/20
WILLIAMSBRIDGE,632 EAST 221 STREET,714000,1/28/20
WILLIAMSBRIDGE,941 EAST 232ND STREET,384750,1/28/20
BATHGATE,3782 3 AVENUE,1800000,1/29/20
BAYCHESTER,3043 EDSON AVENUE,200000,1/29/20
BAYCHESTER,41 HARPER COURT,595000,1/29/20
BRONXDALE,3202 PEARSALL AVENUE,399000,1/29/20
COUNTRY CLUB,3206 PARSIFAL PLACE,605000,1/29/20
EAST TREMONT,"2024 HUGHES AVE, 2D",79000,1/29/20
FIELDSTON,"255 FIELDSTON TERRACE, PS#28",28826,1/29/20
HUNTS POINT,617 COSTER STREET,755000,1/29/20
KINGSBRIDGE HTS/UNIV HTS,68 WEST 183RD,2525000,1/29/20
MORRIS PARK/VAN NEST,1572 TOMLINSON AVENUE,559000,1/29/20
MORRIS PARK/VAN NEST,1724 TOMLINSON AVE,430000,1/29/20
MORRIS PARK/VAN NEST,1954 HONE AVENUE,540000,1/29/20
MOTT HAVEN/PORT MORRIS,474 EAST 145,760000,1/29/20
PARKCHESTER,1528 ROSEDALE AVENUE,500,1/29/20
