NEIGHBORHOOD,ADDRESS,Sale_Price,SALE_DATE
LITTLE NECK,60-29 264TH STREET,1600000,1/6/20
LONG ISLAND CITY,"11-12 44TH DRIVE, 2A",850239,1/6/20
LONG ISLAND CITY,"11-12 44TH DRIVE, PH2",2150000,1/6/20
LONG ISLAND CITY,"21-30 44TH DRIVE, 7H",640000,1/6/20
LONG ISLAND CITY,37-24 33RD STREET,13000000,1/6/20
LONG ISLAND CITY,"11-12 44TH DRIVE, PS11",2150000,1/6/20
OAKLAND GARDENS,"216-10 77 AVENUE, 2H",335000,1/6/20
OZONE PARK,97-31 134TH AVENUE,675000,1/6/20
OZONE PARK,97-31 87TH STREET,520000,1/6/20
QUEENS VILLAGE,234-16 UNION TURNPIKE,431500,1/6/20
QUEENS VILLAGE,89-71 212 PLACE,550000,1/6/20
REGO PARK,"64-34 102ND STREET, 1U",269000,1/6/20
RICHMOND HILL,86-24 110TH STREET,765000,1/6/20
RICHMOND HILL,89-12 117TH STREET,940000,1/6/20
RICHMOND HILL,94-24 VAN WYCK EXPRESSWAY,950000,1/6/20
RICHMOND HILL,118-03 101ST AVENUE,975000,1/6/20
RICHMOND HILL,118-01 101ST AVENUE,975000,1/6/20
SO. JAMAICA-BAISLEY PARK,123-18 146TH STREET,365650,1/6/20
SO. JAMAICA-BAISLEY PARK,128-27 147TH STREET,395000,1/6/20
SO. JAMAICA-BAISLEY PARK,150-53 FOCH BOULEVARD,340000,1/6/20
SO. JAMAICA-BAISLEY PARK,161-14 121ST AVENUE,415000,1/6/20
SOUTH JAMAICA,172-10 107TH AVE,570000,1/6/20
SUNNYSIDE,"4737 45TH STREET, 1B",380000,1/6/20
WOODHAVEN,89-14 88TH STREET,650000,1/6/20
WOODSIDE,48-34 59TH STREET,1375000,1/6/20
ASTORIA,26-18 4 STREET,3300000,1/7/20
BAYSIDE,43-28 220TH STREET,1030000,1/7/20
BAYSIDE,58-19 FRANCIS LEWIS BLVD,843000,1/7/20
BRIARWOOD,"84-55 DANIELS STREET, 2G",407296,1/7/20
BROAD CHANNEL,702 CROSS BAY BLVD,477500,1/7/20
COLLEGE POINT,"5-24 115TH STREET, 524C",435000,1/7/20
CORONA,"112-31 38TH AVE, 4D",470000,1/7/20
DOUGLASTON,"57-52 246TH CRESCENT, E6LOW",227500,1/7/20
FAR ROCKAWAY,15-19 CENTRAL AVENUE,3200000,1/7/20
FAR ROCKAWAY,15-13 CENTRAL AVENUE,3200000,1/7/20
FLUSHING-NORTH,43-38 189TH STREET,960000,1/7/20
FLUSHING-NORTH,142-12 56TH ROAD,855000,1/7/20
FLUSHING-NORTH,"33-38 PARSONS BLVD, 6J",275000,1/7/20
FLUSHING-NORTH,"34-25 150TH PLACE, 3B",420000,1/7/20
FLUSHING-NORTH,"38-25 PARSONS BOULEVARD, 3B",210000,1/7/20
FOREST HILLS,108-32 67TH ROAD,1,1/7/20
FOREST HILLS,"69-09 108TH STREET, 411",255000,1/7/20
GLEN OAKS,"270-10 GRAND CENTRAL PARKWAY, 30K",845000,1/7/20
HILLCREST,82-09 166TH STREET,779889,1/7/20
HOLLIS,93-45 HOLLIS COURT BLVD,172000,1/7/20
HOLLIS HILLS,85-06 213TH STREET,1360000,1/7/20
HOWARD BEACH,"85-10 151ST AVENUE, LB",255000,1/7/20
JACKSON HEIGHTS,33-43 72ND STREET,615000,1/7/20
JACKSON HEIGHTS,2504 73RD STREET,975000,1/7/20
JACKSON HEIGHTS,"34-49 81ST STREET, 1R",275000,1/7/20
JACKSON HEIGHTS,"35-45 79TH STREET, 5L",391925,1/7/20
JAMAICA,89-24 168TH PLACE,553166,1/7/20
JAMAICA,"165-20 HIGHLAND AVENUE, 403",145000,1/7/20
JAMAICA,87-78 169TH STREET,500000,1/7/20
KEW GARDENS,"84-70 129TH STREET, 6D",339000,1/7/20
LAURELTON,218-47 133RD ROAD,509000,1/7/20
LONG ISLAND CITY,"4-74 48TH AVENUE, 4U",438000,1/7/20
LONG ISLAND CITY,"11-12 44TH DRIVE, 2E",1069163,1/7/20
LONG ISLAND CITY,"27-28 THOMSON AVENUE, 547",1365000,1/7/20
MIDDLE VILLAGE,63-73 76TH STREET,715000,1/7/20
OAKLAND GARDENS,"212-04 73RD AVENUE, 4K",239999,1/7/20
OAKLAND GARDENS,"75-08 BELL BOULEVARD, 3O",250000,1/7/20
OZONE PARK,103-06 PLATTWOOD AVENUE,561000,1/7/20
OZONE PARK,109-36 97TH STREET,975000,1/7/20
QUEENS VILLAGE,86-56 MUSKET ST,735000,1/7/20
QUEENS VILLAGE,"86-79 SPRINGFIELD BLVD, 15-5",292000,1/7/20
REGO PARK,"61-25 97 STREET, 14C",215000,1/7/20
REGO PARK,"64-34 102ND STREET, 7P",275000,1/7/20
RICHMOND HILL,85-31 115TH STREET,910000,1/7/20
RICHMOND HILL,87-71 123RD STREET,525038,1/7/20
RICHMOND HILL,110-08 103 AVENUE,755000,1/7/20
RIDGEWOOD,550 ONDERDONK AVENUE,1760000,1/7/20
RIDGEWOOD,552 ONDERDONK AVENUE,980000,1/7/20
RIDGEWOOD,65-16 FOREST AVENUE,1180000,1/7/20
SO. JAMAICA-BAISLEY PARK,142-34 122ND AVENUE,380000,1/7/20
SO. JAMAICA-BAISLEY PARK,147-04 SUTTER AVENUE,499999,1/7/20
SOUTH OZONE PARK,13003 FOCH BOULEVARD,630000,1/7/20
SUNNYSIDE,"43-10 44TH STREET, 3H",407642,1/7/20
WHITESTONE,3-59 150TH STREET,1832850,1/7/20
WOODHAVEN,80-13 88TH AVENUE,900000,1/7/20
WOODHAVEN,90-42 76TH STREET,750000,1/7/20
ASTORIA,2043 42ND ST,1250000,1/8/20
ASTORIA,N/A 35TH STREET,1800000,1/8/20
ASTORIA,31-31 35TH STREET,1800000,1/8/20
BAYSIDE,15-79 216TH STREET,1460000,1/8/20
BELLE HARBOR,"514 BEACH 139TH STREET, B6",130000,1/8/20
BRIARWOOD,"140-10 84TH DRIVE, 6E",280000,1/8/20
COLLEGE POINT,11-22 128TH STREET,1400000,1/8/20
CORONA,45-06 102ND STREET,804418,1/8/20
ELMHURST,41-30 73RD STREET,1250000,1/8/20
ELMHURST,"41-67 JUDGE STREET, 3N",318000,1/8/20
ELMHURST,"83-37 SAINT JAMES AVENUE, 3V",240000,1/8/20
FAR ROCKAWAY,13-33 MCBRIDE STREET,292000,1/8/20
FAR ROCKAWAY,"1040 NEILSON STREET, 3C",76000,1/8/20
FLUSHING-NORTH,43-29 BYRD STREET,1250000,1/8/20
FLUSHING-NORTH,33-37 166TH STREET,1050000,1/8/20
FLUSHING-NORTH,148-18 BOOTH MEMORIAL AVE,813000,1/8/20
FLUSHING-NORTH,45-20 172 ST,820000,1/8/20
FLUSHING-NORTH,"133-27 39TH AVENUE, 3L",1082106,1/8/20
FLUSHING-NORTH,"133-27 39TH AVENUE, 8A",808604,1/8/20
FLUSHING-NORTH,"140-55 34TH AVENUE, 5R",540000,1/8/20
FLUSHING-NORTH,"35-19 LEAVITT STREET, P1",2640000,1/8/20
FLUSHING-NORTH,"35-19 LEAVITT STREET, P2",2640000,1/8/20
FLUSHING-NORTH,"35-19 LEAVITT STREET, P4",2640000,1/8/20
FLUSHING-NORTH,"35-19 LEAVITT STREET, P5",2640000,1/8/20
FLUSHING-NORTH,"35-19 LEAVITT STREET, S1",2640000,1/8/20
FLUSHING-NORTH,"35-19 LEAVITT STREET, S2",2640000,1/8/20
FLUSHING-SOUTH,70-06 173RD STREET,950000,1/8/20
FLUSHING-SOUTH,"141-23 78TH AVENUE, 1C",260000,1/8/20
FOREST HILLS,"94-11 69TH AVENUE, 203",758000,1/8/20
FOREST HILLS,"10240 67TH DRIVE, 5M",333000,1/8/20
FOREST HILLS,"105-24 63 DRIVE, 6K",330918,1/8/20
FOREST HILLS,"65-39 108TH STREET, E6",370000,1/8/20
FOREST HILLS,"7235 112 STREET, 14E",278760,1/8/20
FOREST HILLS,"75-20 113 STREET, 4F",70000,1/8/20
GLEN OAKS,252-07 ELKMONT AVENUE,1619018,1/8/20
GLEN OAKS,76-27 265TH STREET,630000,1/8/20
GLEN OAKS,"251-33 71ST AVENUE, 114B",289000,1/8/20
GLEN OAKS,"27010 GRAND CENTRAL PARKWAY, 14A",575000,1/8/20
GLENDALE,71-31 66TH PLACE,837000,1/8/20
HOLLIS,93-10 182 PLACE,1100000,1/8/20
HOLLIS HILLS,8042 208TH STREET,650000,1/8/20
HOLLISWOOD,87-25 CLOVER PLACE,724000,1/8/20
JACKSON HEIGHTS,34-12 76 STREET,1225000,1/8/20
JACKSON HEIGHTS,"35-45 82ND STREET, 31",570000,1/8/20
JACKSON HEIGHTS,"35-38 75TH STREET, 5B",350000,1/8/20
JACKSON HEIGHTS,"33-44 93RD STREET, 1V",277500,1/8/20
JACKSON HEIGHTS,"34-41 85TH STREET, 2W",429000,1/8/20
JAMAICA,"172-70 HIGHLAND AVENUE, 5F",127000,1/8/20
KEW GARDENS,"118-82 METROPOLITAN AVENUE, 3A",480000,1/8/20
LAURELTON,131-73 226TH STREET,580000,1/8/20
LONG ISLAND CITY,"5-30 47TH AVENUE, 3B",1250000,1/8/20
MIDDLE VILLAGE,59-64 70TH STREET,296000,1/8/20
MIDDLE VILLAGE,81-23 77TH AVENUE,755000,1/8/20
MIDDLE VILLAGE,"66-57 71ST STREET, 2D",475000,1/8/20
MIDDLE VILLAGE,"66-57 71ST STREET, P5",475000,1/8/20
OAKLAND GARDENS,210-23 RICHLAND AVENUE,1700000,1/8/20
OAKLAND GARDENS,"78-42 CLOVERDALE BLVD, B",255000,1/8/20
OAKLAND GARDENS,"75-15 210TH STREET, 1F",320000,1/8/20
OZONE PARK,77-09 97 AVE,562000,1/8/20
OZONE PARK,94-38 133RD AVENUE,638000,1/8/20
QUEENS VILLAGE,8844 VANDERVEER STREET,635000,1/8/20
QUEENS VILLAGE,225-15 MURDOCK AVENUE,515235,1/8/20
REGO PARK,"67-30 CLYDE STREET, 6P",265000,1/8/20
REGO PARK,"99-40 63RD ROAD, RU1",152000,1/8/20
RICHMOND HILL,107-30 120TH STREET,405000,1/8/20
RICHMOND HILL,127-06 89TH AVENUE,825000,1/8/20
RIDGEWOOD,64-43 ADMIRAL AVENUE,755000,1/8/20
ROSEDALE,243-11 132ND AVENUE,700000,1/8/20
ROSEDALE,146-56 SPRINGFIELD LANE,410000,1/8/20
ROSEDALE,143-68 229 STREET,450000,1/8/20
ROSEDALE,259-15 147TH DRIVE,539000,1/8/20
ROSEDALE,146-60 SPRINGFIELD BLVD,410000,1/8/20
SO. JAMAICA-BAISLEY PARK,142-33 ROCKAWAY BOULEVARD,645000,1/8/20
SOUTH JAMAICA,105-39 REMINGTON STREET,125000,1/8/20
SOUTH JAMAICA,105-18 171ST PLACE,475000,1/8/20
SOUTH JAMAICA,106-35 160TH STREET,6000,1/8/20
SOUTH OZONE PARK,130-17 120TH STREET,688000,1/8/20
SOUTH OZONE PARK,149-15 117TH STREET,725000,1/8/20
SPRINGFIELD GARDENS,140-19 172ND STREET,357250,1/8/20
SPRINGFIELD GARDENS,122-30 GRAYSON STREET,525773,1/8/20
SPRINGFIELD GARDENS,145-92 182ND STREET,890000,1/8/20
SPRINGFIELD GARDENS,183-05 145TH DRIVE,570000,1/8/20
SPRINGFIELD GARDENS,N/A 172ND STREET,357250,1/8/20
ST. ALBANS,114-14 205TH STREET,510000,1/8/20
ST. ALBANS,117-12 193RD STREET,25000,1/8/20
WHITESTONE,3-39 150TH STREET,1532466,1/8/20
WHITESTONE,152-09 11TH AVENUE,635000,1/8/20
WOODHAVEN,85-31 90 STREET,595000,1/8/20
WOODHAVEN,84-28 90TH STREET,510000,1/8/20
WOODSIDE,"30-45 HOBART STREET, 6G",529490,1/8/20
WOODSIDE,"51-40 30TH AVENUE, 6G",605000,1/8/20
WOODSIDE,"59-11 QUEENS BLVD, 3D",405000,1/8/20
ASTORIA,20-62 32ND STREET,970000,1/9/20
ASTORIA,19-17 23RD ROAD,1125000,1/9/20
ASTORIA,"3110 28TH ROAD, 2B",682228,1/9/20
ASTORIA,41-06 BROADWAY,1800000,1/9/20
ASTORIA,"3110 28TH ROAD, P8",682228,1/9/20
BAYSIDE,216-03 43RD AVE.,875000,1/9/20
BAYSIDE,"209-39 23 AVENUE, 4J",263500,1/9/20
BELLE HARBOR,136-03 NEWPORT AVENUE,1375000,1/9/20
ELMHURST,"92-29 LAMONT AVENUE, 2F",170000,1/9/20
FAR ROCKAWAY,1361 GIPSON,300000,1/9/20
FAR ROCKAWAY,25-12 MOTT AVENUE,220000,1/9/20
FAR ROCKAWAY,3304 MOTT AVENUE,545000,1/9/20
FLORAL PARK,87-86 257TH STREET,620000,1/9/20
FLUSHING-NORTH,45-53 166TH STREET,873000,1/9/20
FLUSHING-NORTH,45-39 193RD STREET,735000,1/9/20
FLUSHING-NORTH,36-26 192ND STREET,880000,1/9/20
FLUSHING-NORTH,"147-27 38TH AVENUE, G11",300000,1/9/20
FLUSHING-NORTH,"137-05 FRANKLIN AVENUE, 3O",410000,1/9/20
FLUSHING-NORTH,"133-27 39TH AVENUE, 5A",786578,1/9/20
FLUSHING-NORTH,"133-27 39TH AVENUE, 7T",756144,1/9/20
FLUSHING-NORTH,"132-26 AVERY AVE, 11A",760000,1/9/20
FLUSHING-NORTH,"138-35 ELDER AVENUE, 8F",500000,1/9/20
FLUSHING-NORTH,"13226 AVERY AVE, PS23",760000,1/9/20
FLUSHING-NORTH,"138-35 ELDER AVENUE, 22",500000,1/9/20
FLUSHING-SOUTH,"141-39 79 AVENUE, 3O",286607,1/9/20
FOREST HILLS,112-27 68TH ROAD,1715000,1/9/20
FOREST HILLS,"109-23 71ST ROAD, 1H",300000,1/9/20
FOREST HILLS,"111-15 75TH AVENUE, 4N",375000,1/9/20
GLEN OAKS,"26910 GRAND CENTRAL PARKWAY, 32L",615000,1/9/20
JACKSON HEIGHTS,"32-42 89TH STREET, 401",310000,1/9/20
JACKSON HEIGHTS,"33-45 90TH STREET, 6K",246000,1/9/20
JACKSON HEIGHTS,"86-10 34TH AVENUE, 110",450000,1/9/20
KEW GARDENS,115-12 CURZON ROAD,900000,1/9/20
LAURELTON,130-60 221ST STREET,585000,1/9/20
LITTLE NECK,251-28 51ST AVE,950000,1/9/20
LONG ISLAND CITY,"11-12 44TH DRIVE, 3G",1515000,1/9/20
LONG ISLAND CITY,"11-12 44TH DRIVE, 4F",890000,1/9/20
LONG ISLAND CITY,"21-45 44TH DRIVE, 3J",870000,1/9/20
LONG ISLAND CITY,"11-12 44TH DRIVE, PS22",1515000,1/9/20
LONG ISLAND CITY,21-45 44TH DRIVE,870000,1/9/20
MASPETH,60-60 60TH LANE,955000,1/9/20
NEPONSIT,315 BEACH 143 STREET,1230000,1/9/20
OAKLAND GARDENS,"219-73 74TH AVENUE, 416A1",314240,1/9/20
OZONE PARK,81-04 95TH AVENUE,605000,1/9/20
QUEENS VILLAGE,91-14 218TH STREET,411957,1/9/20
QUEENS VILLAGE,216-20 111 AVE,600000,1/9/20
REGO PARK,"97-40 62ND DRIVE, 8K",422500,1/9/20
RICHMOND HILL,103-37 107TH STREET,844551,1/9/20
RIDGEWOOD,60-34 78 AVENUE,880000,1/9/20
ROSEDALE,147-15 229TH STREET,400000,1/9/20
ROSEDALE,230-06 145TH AVE,970000,1/9/20
ROSEDALE,245-23 147TH DRIVE,750000,1/9/20
SO. JAMAICA-BAISLEY PARK,116-21 146TH STREET,20000,1/9/20
SO. JAMAICA-BAISLEY PARK,142-51 122ND AVENUE,281000,1/9/20
SO. JAMAICA-BAISLEY PARK,145-39 123RD AVENUE,350000,1/9/20
SO. JAMAICA-BAISLEY PARK,147-17 115TH AVENUE,565000,1/9/20
SOUTH JAMAICA,112-62 DILLON STREET,610000,1/9/20
SOUTH JAMAICA,150-15 109TH AVENUE,790000,1/9/20
SOUTH OZONE PARK,114-40 118TH STREET,590000,1/9/20
SPRINGFIELD GARDENS,122-14 193RD STREET,635000,1/9/20
SPRINGFIELD GARDENS,188-09 PINEVILLE LANE,750000,1/9/20
ST. ALBANS,115-51 202ND STREET,470000,1/9/20
ST. ALBANS,118-49 FARMERS BOULEVARD,785000,1/9/20
SUNNYSIDE,"48-01 42ND STREET, 5C",570000,1/9/20
WHITESTONE,151-74 22ND AVENUE,1310000,1/9/20
WOODHAVEN,92-29 77TH STREET,560000,1/9/20
ARVERNE,N/A BARBADOES DRIVE,95000,1/10/20
ASTORIA,43-15 20TH RD,860000,1/10/20
ASTORIA,2509 23RD AVE,999000,1/10/20
ASTORIA,20-08 23RD STREET,1280000,1/10/20
ASTORIA,"24-51 38TH STREET, B3",625000,1/10/20
ASTORIA,"25-10 31ST AVENUE, 3J",475000,1/10/20
ASTORIA,"28-18 ASTORIA BOULEVARD, 601",668079,1/10/20
BAYSIDE,57-11 226TH STREET,1300000,1/10/20
BAYSIDE,"16-25 UTOPIA PARKWAY, 2-25",275000,1/10/20
BAYSIDE,"200-04 35TH AVENUE, 219",217000,1/10/20
BELLE HARBOR,13403 BEACH CHANNEL DRIVE,999000,1/10/20
CAMBRIA HEIGHTS,117-30 228TH STREET,560000,1/10/20
COLLEGE POINT,128-15 11TH AVENUE,950000,1/10/20
COLLEGE POINT,25-07 COLLEGE POINT BLVD,803000,1/10/20
EAST ELMHURST,96-09 32ND AVENUE,984000,1/10/20
FAR ROCKAWAY,221 BEACH 29TH STREET,405000,1/10/20
FAR ROCKAWAY,N/A SEAGIRT AVENUE,290000,1/10/20
FAR ROCKAWAY,13-47 EGGERT PLACE,660000,1/10/20
FLORAL PARK,87-91 257TH STREET,940000,1/10/20
FLUSHING-NORTH,149-16 33RD AVENUE,1418000,1/10/20
FLUSHING-NORTH,"29-50 137TH STREET, 6C",205000,1/10/20
FLUSHING-NORTH,"133-27 39TH AVENUE, 6M",1145065,1/10/20
FLUSHING-NORTH,"133-27 39TH AVENUE, 12E",860320,1/10/20
FLUSHING-NORTH,"132-35 SANFORD AVENUE, 4M",548000,1/10/20
FLUSHING-SOUTH,63-35 136TH STREET,500000,1/10/20
FLUSHING-SOUTH,147-50 70 ROAD,960000,1/10/20
FRESH MEADOWS,75-49 177TH STREET,880000,1/10/20
GLEN OAKS,"255-07 75TH AVENUE, GV24H",365000,1/10/20
GLENDALE,78-27 79TH LANE,621500,1/10/20
GLENDALE,75-15 61ST STREET,975200,1/10/20
HOLLIS,189-18 104TH AVENUE,300000,1/10/20
HOWARD BEACH,"85-09 151ST AVENUE, 6N",249000,1/10/20
JACKSON HEIGHTS,30-21 92ND STREET,720000,1/10/20
JACKSON HEIGHTS,24-40 86TH STREET,501930,1/10/20
JACKSON HEIGHTS,"76-10 34TH AVENUE, 5M",481850,1/10/20
JAMAICA,87-15 KINGSTON PLACE,1235000,1/10/20
JAMAICA ESTATES,81-04 CHEVY CHASE STREET,1650000,1/10/20
LONG ISLAND CITY,36-13 GREENPOINT AVENUE,950000,1/10/20
LONG ISLAND CITY,"11-12 44TH DRIVE, 3I",1307250,1/10/20
LONG ISLAND CITY,"11-12 44TH DRIVE, 5C",995000,1/10/20
LONG ISLAND CITY,"11-12 44TH DRIVE, PH4",2341975,1/10/20
LONG ISLAND CITY,"11-12 44TH DRIVE, PS3",1307250,1/10/20
